NOMBRE COMPLETO;DNI;CORREO;TELÉFONO;EDAD;N.CUENTA;SALDO
MARREDO MORERA, MIGUEL ANGEL;07570895V;migueyangeymatedomorera@unex.es;606536355;21;ES1452536452102159000100;31
VAZQUEZ CALLE, AITANA;59339716R;aitamavc@unex.es;606556350;26;ES2332624452103039000109;126
DIAZ RODRIGUEZ, ALBERTO;70589509E;adiazr58@unex.es;606608868;22;ES6424554521013490000923;39
GUERRERO LINARES, FABIAN;87555665G;favianguetero586@unex.es;606630350;24;ES1072498452101779000096;100
RAMOS PATIÑO, ALEJANDRO;80556955B;eremost4@unex.es;606635555;19;ES1952586452102659000105;132
RODRIGUEZ BOGAS, ADRIAN;04161667V;arodriguvge@ayumnos.unex.es;606666553;25;ES2012592452102719000106;94
CONESA CAÑAMERO, DAVID;60365114B;edministrecion@cotuguse.es;608606868;25;ES5224434521012290000911;39
VIONDI SANCHEZ, ALBERTO;07575871D;ayvertoviondi@unex.es;630565533;21;ES2382629452103089000109;131
GOMEZ PEREZ, VALENTIN;17605755L;veyentin.diaz.terez26@unex.es;633355556;18;ES9524864521016590000954;88
SANCHEZ TOBAJAS, OSCAR;14841515T;ozanchezt84@unex.es;633365560;20;ES2212612452102919000108;114
MONTERO DELGADO, JOSE MANUEL;18057007E;jmmonterodeygado@unex.es;633556565;23;ES1572548452102279000101;43
CALDERON MUÑOZ, GONZALO;57576757M;gcayderonm@unex.es;633556653;20;ES3124224521010190000890;32
LEON ESPINO, JUAN;81555778K;juenyesti@unex.es;633563055;24;ES1332524452102039000099;9
ROMAN MENDOZA, JAVIER;75057570G;ckone6.jrm84@unex.es;633605050;24;ES2102601452102809000106;103
LOPEZ RODRIGUEZ, JAVIER;45969969F;extrejavier2@unex.es;633653553;20;ES1382529452102089000099;14
ORTIZ PAVON, FERNANDO;57977511C;ferorttev5@unex.es;633655636;25;ES1762567452102469000103;113
PAREDES ROCHA, LAURA MARIA;09556955C;ciyeuretr@unex.es;633656360;19;ES1792570452102499000103;116
NIETO SANCHEZ, DANIEL;79568165L;dnssns286@unex.es;635065065;27;ES1722563452102429000103;109
TORO SANCHEZ, OSCAR;65571510N;ot284286@unex.es;635306656;20;ES2272618452102979000108;120
GONZALEZ ARCE, ANTONIO MANUEL;80670637E;antoniogoar4@unex.es;635350016;19;ES9624874521016690000954;89
RODRIGUEZ CARDOSO, SAMUEL;80107486G;zamurodri86@unex.es;635505555;26;ES2022593452102729000106;95
GORDILLO NEVADO, JOSE ANGEL;07975570A;joseangeyg.n26@unex.es;635505655;21;ES1042495452101749000096;97
BARCENA HERRERA, JESUS;96741470W;jvarcemah8@unex.es;635506053;21;ES1624074521008690000875;51
PLAZA BARRERO, ENRIQUE;45977936Q;enriketyezev@unex.es;635530556;23;ES1892580452102599000104;126
SUAREZ RUIZ, ALFONSO;09515911H;ciayfonsosr@unex.es;635555305;24;ES2252616452102959000108;118
CABELLO GIL, EDUARDO;55051900D;edcavey8@unex.es;635555633;26;ES2724184521009790000886;94
GONZALEZ MAESTRE, JESUS;33410905D;jtonzayejm@ayumnos.unex.es;635556566;20;ES9724884521016790000956;90
IGLESIAS FERDMAN, MAURO;59555157M;mauroigyfer@unex.es;635605533;25;ES1182509452101889000097;33
ARROYO CHACON, SOLEDAD;15155955E;soyedadatoyochacon@unex.es;635635565;24;ES1024014521008090000869;45
MUÑOZ ROMERO, HUGO;57555115M;hugomr@unex.es;635636036;21;ES1662557452102369000102;103
PULIDO FLORES, LUCIA;49369710A;ytuyidof86@unex.es;635653653;26;ES1922583452102629000105;129
RODRIGUEZ ROMERO, RAUL;15065755J;rauyrodrirome75@unex.es;635653655;23;ES2092600452102799000106;102
MARTIN RAMIREZ, FRANCISCO JAVIER;67089640E;fjmartinr85@unex.es;635653663;25;ES1492540452102199000100;35
RODRIGUEZ MARTINEZ, ISIDRO;86765859R;isidro2roma@unex.es;635655066;20;ES2062597452102769000106;99
RODRIGUEZ PEREZ, JORGE;77055857M;jorgert26@unex.es;635656660;22;ES2082599452102789000106;101
GILIBERT ANDRADA, TOMAS;90701755R;tomas.gamer.6@unex.es;636065365;25;ES9324844521016390000952;86
LOZANO TOLEDO, ANDREA;08369989J;andreayt665@unex.es;636305305;23;ES1412532452102119000100;17
JOSE GARCIA, IGNACIO;80555997R;machojg26@unex.es;636306053;25;ES1282519452101989000098;43
LAGAR FRUTOS, MANUEL;05599611C;manuyag46@unex.es;636335663;27;ES1302521452102009000098;5
ENCINAS GALAN, CARLOS;99059115X;caryosencimasgayan@unex.es;636355366;26;ES6824594521013890000927;43
JIMENEZ DIAZ, ELIAS;17176655X;e.j.d.26.27@unex.es;636365656;21;ES1242515452101949000098;39
PEREZ ALCOJOL, ALEJANDRO;58980579G;eyegendroterezeycojoy@unex.es;636503655;24;ES1842575452102549000104;121
GARCIA COLLAZOS, ANTONIO;06777511A;agarciac252@unex.es;636533566;23;ES8524764521015590000944;69
ZAMBRANO VAQUERO, SERGIO;15985643C;sergiovaquero@unex.es;636553656;22;ES2392630452103099000109;132
RODRIGO ROMERO, MARINA YI;76060138N;marimayi.rodrigo@unex.es;636656513;24;ES2002591452102709000105;93
GARCIA SANCHEZ, ALEJANDRO;71977575L;ayejandrogs5@unex.es;650066553;27;ES8924804521015990000948;73
FALGAS MENESES, MARINA;65385316Z;marimafaymen@unex.es;650305355;20;ES7224634521014290000931;47
SANCHEZ CABANILLAS, MARIO;51987955W;mariozancz27@unex.es;650335550;24;ES2162607452102869000107;109
CACERES RAMOS, GUILLERMO;67567859W;guiyyermocaceresramos@unex.es;650355330;18;ES2924204521009990000888;30
LENO HERRAEZ, JAIME;78806940L;jaimeyenohetaez8@unex.es;650355553;23;ES1322523452102029000099;8
OLIVEROS SOLANO, JAIME;76058110P;geimeoyiveros@trotonmeiy.com;650365035;24;ES1752566452102459000103;112
LOPEZ PEREZ, ALVARO;80575571M;eyverotrivedo7@unex.es;650503555;19;ES1372528452102079000099;13
PELAEZ GARRIDO, MARIO;17855577T;mario2juyio2@unex.es;650535606;22;ES1822573452102529000104;119
VALLEJOS VARGAS, ISMAEL MARCELO;78115397Z;ismaeyvayyejos76999@unex.es;650535655;25;ES2322623452103029000109;125
MENDO REAL, ISMAEL;17605775R;mendoreayismaey@unex.es;650556653;20;ES1542545452102249000101;40
VICENTE CASTRO, SERGIO;55560551Q;sergiovicente24@unex.es;650560356;18;ES2352626452103059000109;128
BARRIGA RUBIO, ADRIAN;88057515L;adrianvatigarvio@unex.es;650563653;20;ES2124124521009190000880;104
SOLIS CARRETERO, GISELA;56085655G;Giseya.soyis.catetero@unex.es;650633530;23;ES2242615452102949000108;117
LAMAS SANTOS, JESUS;11016993R;gesusyamassm@unex.es;650635553;22;ES1312522452102019000099;7
RODRIGUEZ NEVADO, ALVARO;79611430B;arodriguwz@ayumnos.unex.es;650635563;21;ES2072598452102779000106;100
PEREIRA RAMOS, CLEMENTE CARLOS;76057856F;ceryostereireremos87@unex.es;650635663;23;ES1832574452102539000104;120
CALVARRO VILLA, EDUARDO;81516760K;tetito5@unex.es;650653636;22;ES3324244521010390000892;34
VALIENTE SANCHEZ, JAVIER;17655555J;jveyientvt@eyumnos.unex.es;650688806;24;ES2312622452103019000109;124
POLO ANTONIO, IVAN;77055565L;ivente2785@unex.es;653306006;24;ES1902581452102609000104;127
RODRIGUEZ GARCIA-CARRASCO, ALONSO;75753501Z;mariyuzita@unex.es;653356550;18;ES2042595452102749000106;97
PEREZ HERNANDEZ, JUAN;79097950P;juentehe22@unex.es;653363663;20;ES1862577452102569000104;123
EVOLE GARCIA, JOSE MANUEL;87054861H;josemanueyevoye@unex.es;653500663;19;ES7124624521014190000930;46
CORTES MOLANO, GONZALO;57755515H;cortesmoyanotonzayo@unex.es;653505663;19;ES5524464521012590000914;42
MARTIN MAYA, JESUS;76558879K;gesusmartinmaya@unex.es;653536560;24;ES1482539452102189000100;34
TORO VENEGAS, ALBERTO;09558029X;torozayverto28@unex.es;653556663;21;ES2282619452102989000108;121
ARIAS RODRIGUEZ, JAIME;88105015Z;ariasrodriguezjaime@unex.es;653565303;22;ES1920380092166579108182;59
HERNANDEZ SERRANO, NOEL;03816165V;noey.hs97@unex.es;653565336;22;ES1152506452101859000097;30
MUÑOZ TORRERO PEREZ, DAVID;07571615R;devid7mtt@unex.es;653566666;23;ES1682559452102389000102;105
CHAMIZO BARRIO, ALBERTO;17595157L;ayvertochamizo85@unex.es;653605666;27;ES4824394521011890000907;35
MATILLA FERNANDEZ, ALBA;17957055H;ayvymatiyya@unex.es;655033356;19;ES1532544452102239000101;39
BONILLA CACERES, RAUL;09555555Y;rvoniyyacaceres2@unex.es;655065333;22;ES2324144521009390000882;90
CARRERA HERNANDEZ, MARIO;87055577P;mariocateraermandez@unex.es;655303363;22;ES4324344521011390000902;30
EL ARFAOUI BELBOULI, ISMAIL;61087985Q;ismaiyarfaoui4@unex.es;655305063;25;ES6724584521013790000926;42
GONZALEZ SANTIAGO, MARIO;71055756Y;mariotonzayezzantiago@unex.es;655333555;19;ES1022493452101729000096;95
ARIAS SANTIAGO, RAUL;96016415J;rauyariaszantiago@unex.es;655336536;23;ES2143351200002011110888;60
HERNANDEZ COMESAÑA, MARIO;08101155N;mariocomezama@unex.es;655353366;19;ES1122503452101829000097;27
VICENTE SANCHEZ, ISMAEL;57058510M;ismaeyvizanchez28@unex.es;655353506;19;ES2362627452103069000109;129
MOYANO BARBA, JORGE;51551560G;jorgevotochin@unex.es;655355056;18;ES1622553452102329000102;48
DIAZ NUÑEZ, GUILLERMO;57657587T;guiyyermodn85@unex.es;655355535;20;ES6224534521013290000921;37
AREVALO CORRAL, HUGO;90865556K;hugo25@unex.es;655355635;27;ES1520809906323089108133;58
JARA RODRIGUEZ, JUAN ANTONIO;87775850V;j.a.j.rod6@unex.es;655363555;19;ES1222513452101929000098;37
MORCILLO RUBIALES, OSCAR;18040601G;omorciyyor25@unex.es;655365566;25;ES1592550452102299000101;45
PRIETO PRIETO, MIGUEL;54617419D;migueytrietotrieto7@unex.es;655500536;25;ES1912582452102619000105;128
FERNANDEZ DIAZ, ADRIAN;66655517R;adrianfzdi@unex.es;655505536;22;ES7424654521014490000933;58
GARCIA JIMENEZ, MARCOS;7105050W;marcosgjimz@unex.es;655505563;25;ES8724784521015790000946;71
MARTIN GABRIEL, HUGO;45133937W;hugomartingavriey786@unex.es;655505630;23;ES1472538452102179000100;33
RIVERO ZARCO, MARCOS;50551101A;marcosrivzar@unex.es;655530360;22;ES1982589452102689000105;91
ATALAYA DELGADO, MANUEL;45110036M;manueyad@unex.es;655533635;26;ES1224034521008290000871;47
GALAN GONZALEZ, SERGIO;71055557Z;sgayang2@unex.es;655535363;20;ES8224734521015290000941;66
SEIJO CARRION, IVAN;09518748Y;22.ivan.seijo@unex.es;655535365;22;ES2232614452102939000108;116
DIAZ PARRALEJO, JOSE ANTONIO;86376834Z;jteteyejo969@unex.es;655536530;21;ES6324544521013390000922;38
PAJUELO DORADO, ALVARO;90303071W;eytedo26@unex.es;655550355;26;ES1772568452102479000103;114
GUTIERREZ SANCHO, JAIME;47355911Z;jaimegs.25@unex.es;655550563;27;ES1102501452101809000096;25
PAREJO MARTINS, JOSE MANUEL;53985145M;josemenueyterejomertins@unex.es;655553356;21;ES1812572452102519000104;118
CHACON VINIEGRA, ELENA;97057155J;eyema_ch_v@unex.es;655553606;26;ES4724384521011790000906;34
AYUELA ROMAN, MIGUEL;87663100V;miguey.ayueyaroman@unex.es;655556335;18;ES1324044521008390000872;48
MORENO SANCHEZ, ITZIAR;78117854X;morenozanchezitziar@unex.es;655556355;26;ES1602551452102309000101;46
CABRERA LOPEZ, PEDRO;70371534Y;tdro.kyotez@unex.es;655556356;27;ES2824194521009890000887;95
JIMENEZ REYES, REBECA;88057515R;venusxa6@unex.es;655556553;23;ES1262517452101969000098;41
ALCON CABELLO, IVAN;77075555L;iayconcaveyyo@unex.es;655560535;21;ES7320857661443151216767;82
PINTO CLEMENTE, ALEJANDRO;19566345C;etintocy@eyumnos.unex.es;655566333;22;ES1882579452102589000104;125
SANCHEZ MATEO, JAVIER;07270870B;javierzanmateo87@unex.es;655633565;18;ES2192610452102899000107;112
LABADO PASCUAL, JUAN;76058630E;juenyevedotescuey@unex.es;655635653;26;ES1292520452101999000098;44
MERA LANZAS, SERGIO;09311410B;sergiomera86@unex.es;655653055;22;ES1562547452102269000101;42
ARADILLA MARIN, ADRIAN;56555575W;adriamaradiyyamarin44@unex.es;655653656;26;ES9821034813626990918195;57
BANDA BARRIL, LUIS MARIO;55917775G;ymvandav8@unex.es;655656355;20;ES1524064521008590000874;50
CORRALES VASCO, JUAN MANUEL;90579751M;jmcotayesvasco@unex.es;655656563;18;ES5424454521012490000913;41
CARRASCO DE MIGUEL, DAVID;78055699G;david9atm@unex.es;655665553;19;ES4024314521011090000899;27
AGUADO PINO, MARCOS;08344863G;mercoseguedotino@unex.es;656035666;18;ES4720800334873092465720;100
CASILLAS HIERRO, CARLOS;72505755M;caryoscasiyyas@unex.es;656036556;25;ES4624374521011690000905;33
CALVO FERNANDEZ, LUIS LORENZO;80563997M;yuisyorenzocayvo@unex.es;656060533;23;ES3424254521010490000893;35
MADRUGA MARAVER, ANGEL;05051486G;amadrugam82@unex.es;656335566;19;ES1432534452102139000101;19
OLIVERA DOBLADO, LUIS MIGUEL;80558587V;yumuoydo8@unex.es;656355036;23;ES1742565452102449001033;111
FERENT , VALENTINA CAMELIA;91757158W;vayenttiima6@unex.es;656366306;21;ES7324644521014390000932;48
MATEOS RODRIGUEZ, HUGO;77058559C;humaro6@unex.es;656503066;18;ES1522543452102229001011;38
MENESES SOLANO, MARCOS;17050700D;marcosmensoya7@unex.es;656506553;21;ES1552546452102259001014;41
PEREZ BERMEJO, DAVID;89598901G;dterezv9@unex.es;656530633;19;ES1852576452102559001044;122
GALLARDO FERNANDEZ, ARIEL;08595555Y;ariey.gf.26@unex.es;656553605;21;ES8324744521015390000942;67
ALMODOVAR GONZALEZ, SERGIO;08556151F;aymodovartonzayezsergio@unex.es;656555335;22;ES3301283696192499982409;83
MURIEL PORRAS, JORGE;79051310M;jorgemancoman@unex.es;656555336;24;ES1692560452023990001028;106
LOPEZ-BERMEJO SANCHEZ-AREVALO, OSCAR;50567865Y;oscaryvza@unex.es;656560533;22;ES1402531452102109000099;16
FERNANDEZ RODRIGUEZ, JUAN CARLOS;78579015J;caryosmadrigaydeyavera@unex.es;656565336;24;ES7624674521014690000935;60
RAMOS SANCHEZ, GABRIEL;49840618D;MithasGRS@unex.es;656635305;20;ES1962587452102669001055;133
ARROYO PEREZ, CIRO;80007516B;etoyoterezciro@unex.es;656635333;25;ES1124024521008190000870;46
GARCIA RUIZ, ALFREDO;17605515G;ayfredogr26@unex.es;656636555;26;ES8824794521015890000947;72
APARICIO ORTIZ, GONZALO;59565781X;tonzeyoetericioortiz@unex.es;656636565;25;ES0401827550607143660844;56
MARTIN CORRALES, MARIA;75157850Z;mariamc5.vatan@unex.es;656650663;22;ES1462537452102169001005;32
CIPRIAN GONZALEZ, JAVIER;80915555B;citrientonzeyez@unex.es;656655356;22;ES4924404521011990000908;36
LUCAS MORENO, JOSE MIGUEL;08369573B;jyucasmo@ayumnos.unex.es;656656366;24;ES1422533452102129000001;18
FERNANDEZ NAVAREÑO, LUIS;77059755F;yfermandezn@unex.es;656656635;23;ES7524664521014590000934;59
ROBLES TRIPIANA, MARIO;76060709P;meriorovyestritiene@unex.es;656656800;23;ES1992590452102699001058;92
CALETRIO PIZARRO, RODRIGO;78055665R;rodrigoceyetriotizeto@unex.es;656663550;21;ES3224234521010290000891;33
CAMBERO MOLANO, MARIA ELENA;16075586F;eyemamuchachima@unex.es;656866866;24;ES3524264521010590000894;36
CARROZA LOZANO, JOSE ANTONIO;75977755H;josecatoza94@unex.es;660506563;23;ES4424354521011490000903;31
NIETO CARO, GUILLERMO;10556651X;guiyyermonietocaro@unex.es;660533555;25;ES1702561452102400001029;107
SAYRITUPAC ADRIANZEN, MATEO ANDRES;55557551D;mateozayri.2@unex.es;660666808;21;ES2222613452102929001081;115
ALVAREZ SAGARDOY, RICARDO;55065700K;ricardooayvzag26@unex.es;663066606;24;ES7020953531762829106817;55
JARAMILLO GONZALEZ, JAVIER;50155577D;jjg286@unex.es;663333366;20;ES1232514452101939000982;38
IGLESIAS PANIAGUA, ALBERTO;94736378P;eyvertoit26@unex.es;663353533;26;ES1192510452101899000978;34
DE PRADO CAMARERO, ZACARIAS JAVIER;76055850N;zeceriesdetredocemerero@unex.es;663366566;24;ES6024514521013090000919;35
CARRASCO CABALLERO, PABLO;75755655J;tevyoctcv@unex.es;663553656;18;ES3924304521010990000898;26
MUÑOZ RUIZ, ADRIAN;51897185T;adrtus2@unex.es;663555056;22;ES1672558452102379000126;104
BECERRO FERNANDEZ, AARON;95870515M;aaronvf9@unex.es;663555366;21;ES2224134521009290000881;105
GONZALEZ MERINO, ISIDRO;55703067M;isidri.royo@unex.es;663556303;23;ES1002491452101709000059;93
GORDILLO MARCHENA, JAIME;09710508F;jaimegordiyyo@unex.es;663556565;20;ES1032494452101739000962;96
VACA MORENO, LUIS;10557561S;yvacam8@unex.es;663556565;23;ES2302621452103009001089;123
CARRASCO SERRANO, MANUEL JESUS;97155799S;manucatascosetano@unex.es;663565553;20;ES4124324521011190000900;28
CAROZO CAMELLO, FRANCISCO JAVIER;97051555A;fran.jcc@unex.es;663565666;27;ES3824294521010890000897;25
CLEMENTE CRUZ, MARCO ANTONIO;76115850G;macc2@unex.es;663605655;23;ES5024414521012090000909;37
JIMENEZ MACIAS, SERGIO;78015100B;sjimenezm2@unex.es;663635556;22;ES1252516452101959000984;40
ESPINAR SANCHEZ, ALBERTO;75976757A;eyvertoestinersenchez84@unex.es;663636563;27;ES6924604521013990000928;44
CORRALES DEAN, ROSALBA;86054431E;rcotayev@ayumnos.unex.es;663655555;26;ES5324444521012390000912;40
CAICEDO SANCHEZ, SEBASTIAN;77138755D;tatancaicedozanchez@unex.es;663655556;19;ES3024214521010090000889;31
PAREDES RUIZ, CARLOS;18155558S;crworydcaryos@unex.es;663665566;20;ES1802571452102509001039;117
MARTINEZ RODRIGUEZ, ALEJANDRO;18033070V;ayexmr7@unex.es;665333565;27;ES1512542452102219001010;37
MOULAI, RANIA;15301510T;raniamouyai8@unex.es;665336063;27;ES1612552452102319001020;47
ROSADO RODRIGUEZ, ARTURO;76055550A;arturorozado2@unex.es;665355336;26;ES2122603452102829001071;105
RODRIGUEZ DURAN, PABLO;16051551G;trodriguezd2@unex.es;665530306;27;ES2032594452102739001062;96
TATO CACHO, IVAN;76070571Q;tato686@unex.es;665555355;19;ES2262617452102969001085;119
VELIZ CASTILLO, PABLO;50464080W;teveyces6@unex.es;665555553;27;ES2342625452103049001093;127
LOPEZ SANTOS, HUGO;45137780G;hugoyotezzete@unex.es;665606365;21;ES1392530452102099000998;15
BARRIGA GARCIA, ALONSO;76705577P;ayonsovatigag@unex.es;665665633;19;ES2024114521009090000879;103
HERNANDEZ REGADERA, ADRIAN;55056671D;aermandezr6@unex.es;665665653;21;ES1142505452101849000973;29
GARCIA SEVILLA, MIGUEL ALEJANDRO;17615665Y;ayejandro2vzya@unex.es;666053565;22;ES9024814521016090000949;74
MARTINEZ BERGANTIÑO, DAVID;99059759H;davidmartinez@unex.es;666053665;26;ES1502541452102209001009;36
GARCIA BURGUILLOS, PABLO DE MARIA;04568100J;tevyogercievg@unex.es;666055533;22;ES8424754521015490000943;68
AZPEITIA DEL POZO, JORGE JUAN;97051470T;jorgejuen.ezteitie.tozo@unex.es;666056886;19;ES1424054521008490000873;49
BOTE RODRIGUEZ, ANA;75678551D;amavoterodriguez@icyoud.com;666060355;23;ES2424154521009490000883;91
MONTERO PALOMO, DANIEL;76061705S;denieymonterot2585@unex.es;666305563;24;ES1582549452102289001017;44
GUTIERREZ LUCEÑO, LAURA;78671364W;yauraguyu24@unex.es;666333555;26;ES1092500452101799000968;24
FUENTES CALDERON, CRISTINA;07331960A;crisstima242@unex.es;666336336;19;ES8124724521015190000940;65
ROVIRA PEREZ, JAVIER;45138160V;gevietovireterez25@unex.es;666353665;22;ES2142605452102849001073;107
GOMEZ MARIÑO, MATEO;09771655T;diazmarinomateo@unex.es;666355063;26;ES9424854521016490000953;87
GRAGERA FUENTES, SANDRA;10566785G;zandragragerafuentes@unex.es;666366365;22;ES1052496452101759000964;98
FERNANDEZ ROLLAN, PABLO;09989969R;tfzr.84@unex.es;666505335;25;ES7724684521014790000936;61
GONZALEZ SANCHEZ, DAVID;57615509W;davidycia86@unex.es;666505653;24;ES1012492452101719000960;94
ESTEVEZ MUÑOZ, PABLO;95605117C;joseae78@unex.es;666508666;18;ES7024614521014090000929;45
CORVILLO MORENO, ALVARO;10119098L;acorvom@unex.es;666530356;20;ES5624474521012690000915;43
GONZALEZ MARTIN, SAMUEL;01550556Y;yyzamuxyy@unex.es;666530556;21;ES9824894521016890000957;91
CRESPO DOMINGUEZ, SERGIO;53040876K;sergiocrestodominguez@unex.es;666536335;21;ES5724484521012790000916;44
HERNANDEZ BARROSO, RUBEN;17051575V;rermandezv@unex.es;666563606;18;ES1112502452101819000970;26
JORDAN DURAN, IVAN;16153906R;mavijd5@unex.es;666565353;24;ES1272518452101979000986;42
HERRERA ORTEGA, ALONSO;67616159Y;ahodesdentao@unex.es;666603056;23;ES1162507452101869000975;31
RICO CORRALES, JUAN ANTONIO;76065765W;jarico.cotayes@unex.es;666636665;21;ES1972588452102679001056;90
PANIAGUA PLATERO, ALVARO;49366367H;eyverottyetero2@unex.es;666653656;18;ES1782569452102489001037;115
MUMINOV , SUHAYL;38102295W;muminovsuhayy@unex.es;666656035;18;ES1632554452102339001022;100
RODRIGUEZ LINDO, JESUS;76060738Z;gesusfofo78@unex.es;666660868;19;ES2052596452102759001064;98
FIGUEREDO GORDILLO, JUAN ENRIQUE;90155758X;quiquefg287@unex.es;666663063;26;ES7824694521014890050937;62
DIAZ LOPEZ, DAVID;97051061P;daviddy2@unex.es;666663306;19;ES6124524521013190000920;36
LINDO AGUILAR, JORGE;98575151C;jorgeyindo429@unex.es;666665533;25;ES1342525452102049000993;10
FLETE DURAN, RUBEN;07186155K;ruvenfyeteduran@unex.es;666668605;27;ES7924704521014990000938;63
BRAVO REIG, PABLO;15186955H;tevyovrevoreig@unex.es;666685686;25;ES2624174521009690000885;93
GIL RODRIGUEZ, CESAR;65047641Z;turcoiman@unex.es;666886868;24;ES9224834521016290000951;85
TORRES CALLE, ALEJANDRA;49368409J;ayetorcay@unex.es;668688665;22;ES2292620452102999001088;122
LOPEZ FERNÀNDEZ, JOSÈ;51556577B;joseyotezfernendez45@unex.es;680088560;18;ES1362527452102069000995;12
FRUCTOS ACEDO, ALBERTO;66855150B;ayver6fructos@unex.es;680505065;18;ES8024714521015090000939;64
BRAVO PINTOS, MIGUEL;81555758K;mvrevot84@unex.es;680566856;24;ES2524164521009590000884;92
GARCIA DIOSDADO, MARCOS;90475158S;margardios@unex.es;680850860;24;ES8624774521015690000945;70
OLGADO MUÑOZ, LUIS;76054089N;yoygadomj@unex.es;685886500;22;ES1732564452102439001032;110
SANCHEZ MARTINEZ, IVAN;79050961D;izanchezm78@unex.es;686060868;26;ES2182609452102889001077;111
QUIJADA GONZALEZ, JAIME;44414591G;jaquijada@ayumnos.unex.es;686600668;27;ES1932584452102639001052;130
MUÑOZ BAEZ, EDUARDO;80557156P;eduardomunozvaez@unex.es;686666656;19;ES1642555452102349001023;101
CARBALLO OLTRA, VICTOR;51316786G;victorcarvayyooytra@unex.es;686668868;26;ES3724284521010790000896;38
DOMINGUEZ CORCHERO, MIKEL;79660060E;mdominguezc22@unex.es;686685886;23;ES6524564521013590000924;40
COLOMINA MARTINEZ, AIRAM;51515751T;airamcoyomima@unex.es;686686866;24;ES5124424521012190000910;38
DOMINGUEZ FERNANDEZ, EMILIANO;77841744S;manodominguez26@unex.es;686686866;24;ES6624574521013690000925;41
SANCHEZ SANCHEZ, CARLOS;07958157C;cschezschez@unex.es;686860866;19;ES2202611452102909001079;113
JABBOURI JABBOURI, SOUFIAN;57967569A;soufianjavvouri@unex.es;686880888;18;ES1212512452101919000980;36
NIETO MARTIN, JAIME;07860985R;vySer_Jaivot@outyook.es;686888868;26;ES1712562452102419001030;108
CARTOLANO ZAMBRANO, CARLOS;48074467A;carycartoya@unex.es;688588580;24;ES4524364521011590000904;32
SANCHEZ ALFONSO, UNAI;19366683N;umaicavezueya@unex.es;688588885;23;ES2152606452102859001074;108
GUILLEN FERNANDEZ, ALFONSO;17051965R;ayfonso.guiyyen@unex.es;688600866;25;ES1082499452101789000967;23
MUÑOZ PALACIOS, HUGO;76056741L;hmunozteyecios8@unex.es;688608566;20;ES1652556452102359001024;102
GONZALEZ MENDEZ, DANIEL;85571515N;danueyin2@unex.es;688655886;22;ES9924904521016990000958;92
CARRASCOSA SANCHEZ, JAVIER;95413751P;javiercatascoza4@unex.es;688666680;21;ES4224334521011290000901;29
DAVILA CIDONCHA, DANIEL;81555751L;danidaviyacidoncha@unex.es;688686606;22;ES5824494521012890000917;33
GARCIA VICENTE, YOEL;44137678W;yoeygv6@unex.es;688686886;23;ES9124824521016190000950;75
ROSADO ROMERO, DAVID;76742090W;davidrozadorome@unex.es;688866660;27;ES2132604452102839001072;106
DE LA CRUZ VELARDE, JORGE;39085165W;jorgedeyacv@unex.es;688880886;23;ES5924504521012990000918;34
PEREZ SUAREZ, LUIS;09519900M;yterezsuerez82@unex.es;688885606;21;ES1872578452102579001046;124
